,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
0,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,viruses,protozoa,gymnosperms,mesophilic organisms,mesophiles grow **best** moderate temperature typically mesophiles often found living bodies humans animals optimal growth temperature many pathogenic mesophiles normal human body temperature mesophilic organisms important uses food preparation including cheese yogurt beer wine,"('best', 1)","('How do mesophiles grow?', 'best', ['Abator', 'Abjurer', 'Abomination', 'Abstainer', 'Achiever', 'Acquaintance', 'Acquirer', 'Active', 'Actor', 'Adjudicator', 'Admirer', 'Adoptee', 'Adult', 'Adventurer', 'Adversary', 'Advisee', 'Advocate', 'Affiant', 'African', 'Agnostic', 'Amateur', 'Amerindian', 'Ancient', 'Anomaly', 'Anti-american', 'Anti', 'Applicant', 'Appointee', 'Appreciator', 'Apprehender', 'Aquarius', 'Archaist', 'Aries', 'Arrogator', 'Assessee', 'Asthmatic', 'Authority', 'Autodidact', 'Baby Boomer', 'Baby Buster', 'Bad Guy', 'Bad Person', 'Baldhead', 'Balker', 'Bather', 'Beard', 'Bedfellow', 'Bereaved', 'Birth', 'Biter', 'Black', 'Blogger', 'Blond', 'Bluecoat', 'Bodybuilder', 'Bomber', 'Brunet', 'Bullfighter', 'Buster', 'Cancer', 'Candidate', 'Capitalist', 'Capricorn', 'Captor', 'Case', 'Cashier', 'Celebrant', 'Censor', 'Chameleon', 'Changer', 'Charmer', 'Child', 'Chutzpanik', 'Closer', 'Clumsy Person', 'Collector', 'Color-blind Person', 'Combatant', 'Commoner', 'Communicator', 'Complexifier', 'Compulsive', 'Computer User', 'Contemplative', 'Contestant', 'Convert', 'Copycat', 'Counter', 'Counterterrorist', 'Coward', 'Crawler', 'Creator', 'Creature', 'Creditor', 'Cripple', 'Dancer', 'Dead Person', 'Deaf Person', 'Debaser', 'Debtor', 'Defecator', 'Delayer', 'Deliverer', 'Demander', 'Dieter', 'Differentiator', 'Disentangler', 'Disputant', 'Dissenter', 'Divider', 'Domestic Partner', 'Double', 'Dresser', 'Dribbler', 'Drug User', 'Dyslectic', 'Ectomorph', 'Effecter', 'Elizabethan', 'Emotional Person', 'Endomorph', 'Engineer', 'Enjoyer', 'Enrollee', 'Entertainer', 'Ethnic', 'Experimenter', 'Expert', 'Explorer', 'Extrovert', 'Face', 'Faddist', 'Faller', 'Fastener', 'Female', 'Fiduciary', 'First-rater', 'Follower', 'Free Agent', 'Friend', 'Fugitive', 'Gainer', 'Gambler', 'Gatekeeper', 'Gatherer', 'Gemini', 'Gentile', 'Good Guy', 'Good Person', 'Granter', 'Greeter', 'Grinner', 'Groaner', 'Grunter', 'Guesser', 'Handicapped Person', 'Hater', 'Heterosexual', 'Homosexual', 'Homunculus', 'Hope', 'Hoper', 'Huddler', 'Hugger', 'Immune', 'Individualist', 'Inhabitant', 'Innocent', 'Insured', 'Intellectual', 'Interpreter', 'Introvert', 'Jat', 'Jew', 'Jewel', 'Jumper', 'Junior', 'Juvenile', 'Killer', 'Kink', 'Kneeler', 'Knocker', 'Knower', 'Large Person', 'Latin', 'Laugher', 'Leader', 'Learner', 'Left-hander', 'Leo', 'Libra', 'Life', 'Lightning Rod', 'Linguist', 'Literate', 'Liver', 'Longer', 'Loose Cannon', 'Loved One', 'Lover', 'Machine', 'Mailer', 'Malcontent', 'Male', 'Man', 'Man Jack', 'Manipulator', 'Married', 'Masturbator', 'Measurer', 'Mesomorph', 'Mestizo', 'Middlebrow', 'Miracle Man', 'Misogamist', 'Mixed-blood', 'Modern', 'Money Handler', 'Monolingual', 'Mother Hen', 'Mouse', 'Mutilator', 'Namer', 'Namesake', 'National', 'Native', 'Neglecter', 'Neighbor', 'Neutral', 'Nondescript', 'Nonmember', 'Nonparticipant', 'Nonpartisan', 'Nonperson', 'Nonreligious Person', 'Nonresident', 'Nonsmoker', 'Nonworker', 'Nude', 'Nurser', 'Occultist', 'Optimist', 'Orphan', 'Ostrich', 'Ouster', 'Outcaste', 'Outdoorsman', 'Owner', 'Pamperer', 'Pansexual', 'Pardoner', 'Partner', 'Party', 'Passer', 'Peer', 'Perceiver', 'Percher', 'Person Of Color', 'Personage', 'Personification', 'Perspirer', 'Philosopher', 'Picker', 'Pisces', 'Pisser', 'Planner', 'Player', 'Posturer', 'Powderer', 'Precursor', 'Preserver', 'Primitive', 'Propositus', 'Public Relations Person', 'Pursuer', 'Pussycat', 'Quarter', 'Quitter', 'Radical', 'Realist', 'Rectifier', 'Redhead', 'Registrant', 'Relative', 'Reliever', 'Religious Person', 'Repeater', 'Rescuer', 'Rester', 'Restrainer', 'Revenant', 'Rich Person', 'Right-hander', 'Riser', 'Romper', 'Roundhead', 'Ruler', 'Rusher', 'Sagittarius', 'Scientist', 'Scorpio', 'Scratcher', 'Second-rater', 'Seeder', 'Seeker', 'Segregate', 'Self', 'Sensualist', 'Sentimentalist', 'Sex Object', 'Sex Symbol', 'Shaker', 'Showman', 'Signer', 'Simpleton', 'Six-footer', 'Skidder', 'Slav', 'Slave', 'Sleepyhead', 'Sloucher', 'Small Person', 'Smasher', 'Smiler', 'Sneezer', 'Sniffer', 'Sniffler', 'Snuffer', 'Snuffler', 'Socializer', 'Sort', 'Sounding Board', 'Sphinx', 'Spitter', 'Sport', 'Sprawler', 'Spurner', 'Squinter', 'Stifler', 'Stigmatic', 'Stooper', 'Stranger', 'Struggler', 'Subject', 'Supernumerary', 'Surrenderer', 'Survivalist', 'Survivor', 'Suspect', 'Tagger', 'Tapper', 'Taurus', 'Tempter', 'Termer', 'Terror', 'Testator', 'Thin Person', 'Third-rater', 'Thrower', 'Tiger', 'Totemist', 'Toucher', 'Transfer', 'Transsexual', 'Transvestite', 'Traveler', 'Trier', 'Turner', 'Tyrant', 'Undoer', 'Unfortunate', 'Unskilled Person', 'Unwelcome Person', 'User', 'Vanisher', 'Victim', 'Victorian', 'Virgo', 'Visionary', 'Visually Impaired Person', 'Waiter', 'Waker', 'Walk-in', 'Wanter', 'Ward', 'Warrior', 'Watcher', 'Weakling', 'Weasel', 'White', 'Wiggler', 'Winker', 'Withholder', 'Witness', 'Worker', 'Worldling', 'Yawner'], 'the person who is most outstanding or excellent; someone who tops all others')",How do mesophiles grow?,best
1,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,tropical effect,muon effect,centrifugal effect,coriolis effect,without coriolis effect global winds would **blow** north south south north coriolis makes **blow** northeast southwest reverse northern hemisphere winds **blow** northwest southeast reverse southern hemisphere,"('blow', 3)","('What does coriolis make?', 'blow [TGT] north south south north coriolis makes [TGT] blow [TGT] northeast southwest reverse northern hemisphere winds [TGT] blow', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does coriolis make?,blow  north south south north coriolis makes  blow  northeast southwest reverse northern hemisphere winds  blow
2,Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,endothermic,unbalanced,reactive,exothermic,summary changes state examples **phase** changes **phase** transitions **phase** changes accompanied changes energy system changes ordered state less ordered state liquid areendothermic changes less ordered state ordered state liquid solid always exothermic conversion solid liquid called fusion melting energy required melt substance enthalpy fusion δhfus energy change required vaporize substance enthalpy vaporization δhvap direct conversion solid sublimation amount energy needed sublime substance enthalpy sublimation δhsub enthalpies fusion vaporization plots temperature substance versus heat added versus heating time constant rate heating calledheating curves heating curves relate temperature changes **phase** transitions superheated liquid liquid temperature pressure stable cooling curve exactly reverse heating curve many liquids freeze expected temperature instead form supercooled liquid metastable liquid **phase** exists normal melting point supercooled liquids usually crystallize standing adding seed crystal another substance induce crystallization,"('phase', 5)","('What type of changes accompanied changes energy system changes?', 'phase [TGT] changes [TGT] phase [TGT] transitions [TGT] phase [TGT] changes accompanied changes energy system changes ordered state less ordered state liquid areendothermic changes less ordered state ordered state liquid solid always exothermic conversion solid liquid called fusion melting energy required melt substance enthalpy fusion δhfus energy change required vaporize substance enthalpy vaporization δhvap direct conversion solid sublimation amount energy needed sublime substance enthalpy sublimation δhsub enthalpies fusion vaporization plots temperature substance versus heat added versus heating time constant rate heating calledheating curves heating curves relate temperature changes [TGT] phase [TGT] transitions superheated liquid liquid temperature pressure stable cooling curve exactly reverse heating curve many liquids freeze expected temperature instead form supercooled liquid metastable liquid [TGT] phase', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of changes accompanied changes energy system changes?,phase  changes  phase  transitions  phase  changes accompanied changes energy system changes ordered state less ordered state liquid areendothermic changes less ordered state ordered state liquid solid always exothermic conversion solid liquid called fusion melting energy required melt substance enthalpy fusion δhfus energy change required vaporize substance enthalpy vaporization δhvap direct conversion solid sublimation amount energy needed sublime substance enthalpy sublimation δhsub enthalpies fusion vaporization plots temperature substance versus heat added versus heating time constant rate heating calledheating curves heating curves relate temperature changes  phase  transitions superheated liquid liquid temperature pressure stable cooling curve exactly reverse heating curve many liquids freeze expected temperature instead form supercooled liquid metastable liquid  phase
3,What is the least dangerous radioactive decay?,zeta decay,beta decay,gamma decay,alpha decay,radioactive decay dangerous living things **alpha** decay least dangerous,"('alpha', 1)","('What decay is least dangerous?', 'alpha', ['Adrenarche', 'Dawn', 'Flying Start', 'Kickoff', 'Menarche', 'Onset', 'Opener', 'Opening', 'Racing Start', 'Thelarche'], 'the beginning of a series or sequence; --Revelations')",What decay is least dangerous?,alpha
4,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,magma,greenhouse gases,carbon and smog,smoke and ash,example calculating **projectile** motion rock **projectile** kilauea hawaii world continuously active volcano active volcanoes characteristically eject rocks lava rather smoke suppose large rock ejected volcano speed angle horizontal shown figure rock strikes side volcano altitude lower starting point calculate time takes rock follow path magnitude direction rock velocity impact,"('projectile', 2)","('What is an example of a projectile?', 'projectile [TGT] motion rock [TGT] projectile', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is an example of a projectile?,projectile  motion rock  projectile
5,"When a meteoroid reaches earth, what is the remaining object called?",orbit,comet,meteor,meteorite,meteoroids smaller asteroids ranging size **boulders** size sand grains meteoroids enter earth atmosphere vaporize creating trail glowing called meteor meteoroid reaches earth remaining object called meteorite,"('boulders', 1)","('What size are meteoroids?', 'boulders', ['Achondrite', 'Bedrock', 'Boulder', 'Calculus', 'Chondrite', 'Clastic Rock', 'Crystal', 'Intrusion', 'Outcrop', 'Pebble', 'Petrifaction', 'Sill', 'Stepping Stone', 'Tor', 'Wall Rock', 'Whinstone', 'Xenolith'], 'a large smooth mass of rock detached from its place of origin')",What size are meteoroids?,boulders
6,What kind of a reaction occurs when a substance reacts quickly with oxygen?,nitrogen reaction,invention reaction,Fluid Reaction,combustion reaction,combustion **reaction** occurs substance reacts quickly oxygen example figure charcoal combining oxygen combustion commonly called burning substance burns usually referred fuel products complete combustion **reaction** include carbon dioxide water vapor **reaction** typically gives heat light well general equation complete combustion **reaction**,"('reaction', 4)","('What is a complete combustion reaction?', 'reaction [TGT] occurs substance reacts quickly oxygen example figure charcoal combining oxygen combustion commonly called burning substance burns usually referred fuel products complete combustion [TGT] reaction [TGT] include carbon dioxide water vapor [TGT] reaction [TGT] typically gives heat light well general equation complete combustion [TGT] reaction', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is a complete combustion reaction?,reaction  occurs substance reacts quickly oxygen example figure charcoal combining oxygen combustion commonly called burning substance burns usually referred fuel products complete combustion  reaction  include carbon dioxide water vapor  reaction  typically gives heat light well general equation complete combustion  reaction
7,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",species complex,surface species,fitting species,ring species,ring species ring species demonstrate version allopatric speciation imagine populations species geographic range exist number **subpopulations** **subpopulations** limited regions overlap another overlap interbreed successfully populations longer interbreed successfully populations separate species case clear answer likely link various populations broken species form future consider black bear ursus americanus originally distributed across north america distribution much fragmented isolated populations free adapt particular environments migration populations limited clearly environment florida different mexico alaska newfoundland different environments favor different adaptations time populations come back contact another might might able interbreed successfully reproductive isolation occur species become many,"('subpopulations', 2)","('What does TGT stand for?', 'subpopulations [TGT] [TGT] subpopulations', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,subpopulations   subpopulations
8,Alpha emission is a type of what?,light,radiation,heat,radioactivity,type radioactivity alpha emission alpha **particle** happens alpha **particle** emitted unstable nucleus,"('particle', 2)","('What happens alpha particle emitted unstable nucleus?', 'particle [TGT] happens alpha [TGT] particle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What happens alpha particle emitted unstable nucleus?,particle  happens alpha  particle
9,What is the stored food in a seed called?,larval,pollin,membrane,endosperm,stored food **seed** called endosperm nourishes embryo start making food,"('seed', 1)","('Endosperm is an abbreviation for what?', 'seed', ['Amphitropous Ovule', 'Anatropous Ovule', 'Campylotropous Ovule', 'Orthotropous Ovule'], 'a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa')",Endosperm is an abbreviation for what?,seed
