,Unnamed: 0,question,answer,context,mostUse,Newquestion
0,0,When did Beyonce start becoming popular?,in the late 1990s,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
1,1,What areas did Beyonce compete in when she was growing up?,singing and dancing,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
2,2,When did Beyonce leave Destiny's Child and become a solo singer?,2003,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
3,3,In what city and state did Beyonce  grow up? ,"Houston, Texas",**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
4,4,In which decade did Beyonce become famous?,late 1990s,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
5,5,In what R&B group was she the lead singer?,Destiny's Child,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
6,6,What album made her a worldwide known artist?,Dangerously in Love,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
7,7,Who managed the Destiny's Child group?,Mathew Knowles,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
8,8,When did Beyoncé rise to fame?,late 1990s,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
9,9,What role did Beyoncé have in Destiny's Child?,lead singer,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
