,Unnamed: 0,question,answer,context,mostUse,Newquestion,Question_Generate,Answer_Generate
0,0,When did Beyonce start becoming popular?,in the late 1990s,beyoncé giselle **knowles** carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew **knowles** group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('knowles', 2)","('Beyonce giselle what is her real name?', 'knowles [TGT] carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew [TGT] knowles', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Beyonce giselle what is her real name?,knowles  carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew  knowles
1,1,What areas did Beyonce compete in when she was growing up?,singing and dancing,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
2,2,When did Beyonce leave Destiny's Child and become a solo singer?,2003,beyoncé giselle **knowles** carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew **knowles** group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('knowles', 2)","('Beyonce giselle what is her real name?', 'knowles [TGT] carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew [TGT] knowles', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Beyonce giselle what is her real name?,knowles  carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew  knowles
3,3,In what city and state did Beyonce  grow up? ,"Houston, Texas",beyoncé giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer **girl** group destiny child managed father mathew knowles group became world best selling **girl** groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('girl', 2)","('What group did child rose fame late lead singer?', 'girl [TGT] group destiny child managed father mathew knowles group became world best selling [TGT] girl', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What group did child rose fame late lead singer?,girl  group destiny child managed father mathew knowles group became world best selling  girl
4,4,In which decade did Beyonce become famous?,late 1990s,beyoncé giselle **knowles** carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew **knowles** group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('knowles', 2)","('Beyonce giselle what is her real name?', 'knowles [TGT] carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew [TGT] knowles', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Beyonce giselle what is her real name?,knowles  carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew  knowles
5,5,In what R&B group was she the lead singer?,Destiny's Child,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
6,6,What album made her a worldwide known artist?,Dangerously in Love,beyoncé giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer **girl** group destiny child managed father mathew knowles group became world best selling **girl** groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('girl', 2)","('What group did child rose fame late lead singer?', 'girl [TGT] group destiny child managed father mathew knowles group became world best selling [TGT] girl', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What group did child rose fame late lead singer?,girl  group destiny child managed father mathew knowles group became world best selling  girl
7,7,Who managed the Destiny's Child group?,Mathew Knowles,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
8,8,When did Beyoncé rise to fame?,late 1990s,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
9,9,What role did Beyoncé have in Destiny's Child?,lead singer,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
